2023-06-22,74117696
2023-05-22,25488634
2023-06-18,47683729
2023-02-25,42587809
2023-06-23,21732228
2023-02-08,43538237
2023-03-12,38934008
2023-03-24,59535093
2023-01-01,31464298
2023-05-03,54358539
2023-06-24,47640984
2023-05-16,28970453
2023-06-01,27372062
2023-04-29,45077530
2023-03-04,46605467
2023-02-16,39369465
2023-01-02,27457471
2023-05-09,32138171
2023-05-30,38103753
2023-06-07,43599073
2023-05-19,39929339
2023-05-20,33602873
2023-04-12,56619062
2023-04-21,71373434
2023-06-12,49443502
2023-06-21,34131030
2023-01-28,58344006
2023-04-01,31443700
2023-01-11,44455247
2023-04-09,53125218
2023-05-13,28283401
2023-02-18,52132387
2023-02-01,36939581
2023-04-04,31759376
2023-06-30,43510449
2023-03-25,50824502
2023-04-06,38614992
2023-04-10,33355907
2023-05-02,38806034
2023-04-17,41039563
2023-06-11,35047073
2023-01-12,39957955
2023-04-11,44924584
2023-05-27,36647841
2023-04-02,37276218
2023-02-15,33946910
2023-01-25,72355740
2023-06-26,53972510
2023-06-05,60034002
2023-02-14,35098118
2023-01-21,28238398
2023-02-10,21308564
2023-03-26,30097130
2023-02-05,31510294
2023-05-01,28790725
2023-05-17,55615106
2023-06-04,54110240
2023-05-21,57072328
2023-01-26,33216066
2023-02-06,39248869
2023-01-05,18905841
2023-04-28,52594572
2023-03-20,36667801
2023-02-19,35896565
2023-02-02,13897175
2023-03-17,52601864
2023-05-26,53752962
2023-05-10,37862642
2023-06-16,32755297
2023-02-24,25575064
2023-05-29,67631642
2023-02-11,37376656
2023-05-25,50016722
2023-05-12,70194192
2023-05-23,30866233
2023-01-31,46132539
2023-02-21,40812431
2023-05-11,42644288
2023-02-04,27358293
2023-02-09,41806780
2023-01-03,28628031
2023-06-14,41172584
2023-04-25,25804006
2023-05-08,46527769
2023-06-15,55501999
2023-06-03,35710435
2023-01-13,57162981
2023-04-03,46352108
2023-03-05,40793376
2023-03-27,29342486
2023-02-22,29703924
2023-01-14,32603244
2023-06-02,54268589
2023-04-08,39820141
2023-03-09,42817608
2023-05-18,48842249
2023-02-13,48913529
2023-03-21,19011025
2023-01-06,37258172
2023-04-15,26097776
2023-01-22,49450196
2023-03-29,29292049
2023-04-13,44578295
2023-05-06,32598432
2023-05-24,46708719
2023-03-01,39260911
2023-02-07,38259824
2023-06-10,42370874
2023-05-04,22341590
2023-02-12,40813577
2023-01-04,57399478
2023-03-14,48859893
2023-04-20,43636009
2023-06-17,56498089
2023-05-05,49653675
2023-06-06,64364747
2023-04-30,39878030
2023-02-27,66355783
2023-05-14,64742702
2023-01-07,26814392
2023-05-31,56155515
2023-01-24,35658232
2023-06-29,23142293
2023-01-20,26736433
2023-01-27,42132683
2023-02-28,44533106
2023-03-13,44461182
2023-01-29,37945038
2023-03-31,59565482
2023-03-08,34077050
2023-04-19,64401095
2023-03-11,49085150
2023-03-10,36928437
2023-04-22,52061764
2023-04-05,61707132
2023-02-03,48090825
2023-03-07,36747885
2023-04-27,23561701
2023-04-24,28943546
2023-06-25,36271484
2023-05-07,60586263
2023-03-03,36319007
2023-01-30,37458127
2023-01-16,50571947
2023-01-09,29924341
2023-02-23,81536371
2023-01-15,56414588
2023-02-20,20217517
2023-04-07,10547873
2023-01-23,36552185
2023-03-15,32600676
2023-06-27,35823800
2023-02-17,47997798
2023-06-28,55831664
2023-04-14,46819851
2023-01-10,51872481
2023-03-28,58570191
2023-03-18,54332443
2023-04-16,37541889
2023-01-17,62765896
2023-04-26,51566492
2023-03-16,66474195
2023-03-22,44837380
2023-04-23,50009620
2023-03-19,36936039
2023-01-08,46430585
2023-01-18,40511214
2023-05-15,32919245
2023-06-20,68662150
2023-06-13,38291301
2023-05-28,42512032
2023-06-19,65028792
2023-06-08,30707941
2023-03-23,34858168
2023-02-26,58377905
2023-04-18,48032474
2023-03-30,47833093
2023-03-06,51143409
2023-03-02,39128493
2023-01-19,47474183
2023-06-09,35415361
